transaction_id,date,company,transaction_type,category,amount,currency,account_number,description,status,payment_method,tax_amount,net_amount
TXN1000,2024-01-15,UnitedHealth Group,Investment,Marketing,498789.6,JPY,ACC90616,Q1 revenue for r&d,Completed,Check,15640.11,483149.49
TXN1001,2024-12-22,Broadcom Inc,Expense,Administrative,407890.44,GBP,ACC72475,Q4 capital gain for it,Completed,Wire Transfer,25883.85,382006.59
TXN1002,2024-10-11,Starbucks,Capital Gain,Operations,363927.61,USD,ACC26222,Q3 expense for administrative,Pending,ACH,24814.56,339113.05
TXN1003,2024-09-30,Lockheed Martin,Dividend,R&D,336378.01,EUR,ACC86805,Q4 investment for marketing,Completed,Check,46359.17,290018.84
TXN1004,2024-07-02,IBM Corp,Operating Cost,Administrative,193284.51,GBP,ACC72617,Q2 expense for distribution,Completed,Credit Card,41529.35,151755.16
TXN1005,2024-12-24,Salesforce Inc,Capital Gain,Distribution,218933.78,USD,ACC83475,Q4 expense for marketing,Completed,Check,16406.73,202527.05
TXN1006,2024-12-02,Johnson & Johnson,Revenue,HR,106129.05,GBP,ACC99107,Q1 dividend for administrative,Pending,ACH,32574.01,73555.04
TXN1007,2024-01-16,Merck & Co,Dividend,IT,322226.78,USD,ACC14055,Q4 revenue for operations,Completed,Credit Card,39464.74,282762.04
TXN1008,2024-05-17,Bank of America,Operating Cost,Legal,56158.44,JPY,ACC43482,Q3 dividend for legal,Completed,PayPal,26903.53,29254.91
TXN1009,2024-04-30,PayPal Holdings,Dividend,Manufacturing,216685.39,GBP,ACC79758,Q2 dividend for distribution,Pending,Check,17616.2,199069.19
TXN1010,2024-06-06,Bank of America,Revenue,Administrative,233397.28,JPY,ACC22958,Q2 investment for operations,Completed,Wire Transfer,20178.83,213218.45
TXN1011,2024-06-24,Ford Motor,Capital Gain,Manufacturing,428212.62,EUR,ACC33952,Q4 revenue for hr,Completed,Check,1513.28,426699.34
TXN1012,2024-07-11,Procter & Gamble,Operating Cost,Marketing,487282.61,EUR,ACC55764,Q1 operating cost for it,Completed,Wire Transfer,34420.33,452862.28
TXN1013,2024-03-23,Lockheed Martin,Dividend,R&D,491855.47,USD,ACC71707,Q1 operating cost for hr,Completed,ACH,19261.45,472594.02
TXN1014,2024-07-23,Intel Corp,Investment,Legal,329320.08,GBP,ACC19166,Q2 investment for marketing,Pending,Credit Card,46166.99,283153.09
TXN1015,2024-12-20,Thermo Fisher,Investment,HR,38462.77,USD,ACC54067,Q1 expense for sales,Completed,Credit Card,48773.8,-10311.03
TXN1016,2024-05-21,Merck & Co,Operating Cost,Distribution,322686.64,USD,ACC91224,Q1 operating cost for distribution,Completed,Wire Transfer,4039.34,318647.3
TXN1017,2024-01-22,Netflix Inc,Investment,Legal,59954.34,GBP,ACC46537,Q1 investment for manufacturing,Completed,Wire Transfer,40729.58,19224.76
TXN1018,2024-07-25,Abbott Labs,Expense,Distribution,177015.2,JPY,ACC48779,Q4 capital gain for operations,Completed,PayPal,3101.37,173913.83
TXN1019,2024-04-23,American Express,Operating Cost,Distribution,149043.78,EUR,ACC40084,Q2 capital gain for marketing,Completed,Wire Transfer,23973.01,125070.77
TXN1020,2024-09-10,IBM Corp,Capital Gain,IT,209596.1,USD,ACC36337,Q1 revenue for distribution,Completed,Credit Card,4568.94,205027.16
TXN1021,2024-08-17,Home Depot,Capital Gain,Sales,195095.88,EUR,ACC49012,Q1 dividend for r&d,Completed,Wire Transfer,48548.34,146547.54
TXN1022,2024-05-08,Goldman Sachs,Revenue,Legal,340533.02,GBP,ACC31167,Q2 revenue for sales,Completed,ACH,15143.44,325389.58
TXN1023,2024-05-03,Costco Wholesale,Dividend,Administrative,319744.89,USD,ACC40748,Q4 dividend for operations,Completed,Credit Card,6120.32,313624.57
TXN1024,2024-02-23,Adobe Inc,Capital Gain,Sales,475751.61,USD,ACC14080,Q4 operating cost for administrative,Completed,ACH,34162.41,441589.2
TXN1025,2024-06-30,Coca-Cola Co,Operating Cost,IT,402414.92,USD,ACC78673,Q4 dividend for r&d,Completed,PayPal,2044.43,400370.49
TXN1026,2024-02-22,IBM Corp,Dividend,Marketing,302765.69,USD,ACC54540,Q1 dividend for hr,Completed,PayPal,3142.52,299623.17
TXN1027,2024-05-28,NVIDIA Corp,Revenue,R&D,357020.59,GBP,ACC13813,Q2 operating cost for distribution,Pending,Check,33608.65,323411.94
TXN1028,2024-12-04,Ford Motor,Dividend,HR,18908.85,EUR,ACC59998,Q3 revenue for it,Completed,PayPal,35925.91,-17017.06
TXN1029,2024-09-30,Meta Platforms,Revenue,Operations,263136.24,USD,ACC50083,Q1 capital gain for distribution,Completed,PayPal,38626.96,224509.28
TXN1030,2024-11-01,Alphabet Inc,Expense,Sales,178012.43,USD,ACC16140,Q1 operating cost for administrative,Completed,PayPal,40465.38,137547.05
TXN1031,2024-10-10,Alphabet Inc,Operating Cost,Operations,23040.17,GBP,ACC31880,Q1 dividend for sales,Pending,ACH,20564.21,2475.96
TXN1032,2024-02-24,Thermo Fisher,Revenue,Marketing,145399.43,USD,ACC44464,Q3 operating cost for sales,Pending,Credit Card,27963.04,117436.39
TXN1033,2024-04-26,Adobe Inc,Capital Gain,IT,267947.92,EUR,ACC92446,Q3 capital gain for marketing,Pending,ACH,30464.75,237483.17
TXN1034,2024-01-08,Merck & Co,Revenue,Sales,114487.25,EUR,ACC98501,Q4 operating cost for hr,Completed,ACH,13367.23,101120.02
TXN1035,2024-03-06,AbbVie Inc,Operating Cost,IT,70534.14,JPY,ACC47578,Q4 capital gain for sales,Completed,Credit Card,513.57,70020.57
TXN1036,2024-01-16,Lockheed Martin,Expense,Operations,144382.02,GBP,ACC96645,Q2 dividend for hr,Completed,ACH,24735.63,119646.39
TXN1037,2024-02-23,Netflix Inc,Revenue,Distribution,398509.11,GBP,ACC14957,Q4 investment for marketing,Completed,ACH,5198.71,393310.4
TXN1038,2024-07-21,Starbucks,Dividend,Administrative,370290.03,EUR,ACC11897,Q4 expense for marketing,Pending,PayPal,24907.35,345382.68
TXN1039,2024-09-28,Accenture,Dividend,HR,125982.25,JPY,ACC49737,Q2 expense for it,Completed,Wire Transfer,33751.45,92230.8
TXN1040,2024-06-24,NVIDIA Corp,Dividend,Operations,363362.86,USD,ACC20971,Q2 capital gain for hr,Pending,ACH,34581.95,328780.91
TXN1041,2024-03-15,Costco Wholesale,Revenue,Legal,122985.98,GBP,ACC21308,Q3 expense for manufacturing,Pending,PayPal,28759.29,94226.69
